MO,Latitude
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
8,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
9,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
10,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
11,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
0,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
1,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
2,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
3,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
4,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
5,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
6,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
7,5.6
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
11,4.366666667
11,4.366666667
11,4.366666667
11,4.366666667
11,4.366666667
11,4.366666667
11,4.366666667
11,4.366666667
11,4.366666667
11,4.366666667
11,4.366666667
11,4.366666667
11,4.366666667
11,4.366666667
11,4.366666667
11,4.366666667
11,4.366666667
11,4.366666667
11,4.366666667
11,4.366666667
11,4.366666667
11,4.366666667
11,4.366666667
11,4.366666667
11,4.366666667
11,4.366666667
11,4.366666667
11,4.366666667
0,4.366666667
0,4.366666667
0,4.366666667
0,4.366666667
0,4.366666667
0,4.366666667
0,4.366666667
0,4.366666667
0,4.366666667
0,4.366666667
0,4.366666667
0,4.366666667
0,4.366666667
0,4.366666667
0,4.366666667
0,4.366666667
0,4.366666667
0,4.366666667
0,4.366666667
0,4.366666667
0,4.366666667
0,4.366666667
0,4.366666667
0,4.366666667
0,4.366666667
0,4.366666667
0,4.366666667
0,4.366666667
0,4.366666667
1,4.366666667
1,4.366666667
1,4.366666667
1,4.366666667
1,4.366666667
1,4.366666667
1,4.366666667
1,4.366666667
1,4.366666667
1,4.366666667
1,4.366666667
1,4.366666667
1,4.366666667
1,4.366666667
1,4.366666667
1,4.366666667
1,4.366666667
1,4.366666667
1,4.366666667
1,4.366666667
1,4.366666667
1,4.366666667
1,4.366666667
1,4.366666667
1,4.366666667
1,4.366666667
1,4.366666667
2,4.366666667
2,4.366666667
2,4.366666667
2,4.366666667
2,4.366666667
2,4.366666667
2,4.366666667
2,4.366666667
2,4.366666667
2,4.366666667
2,4.366666667
2,4.366666667
2,4.366666667
2,4.366666667
2,4.366666667
2,4.366666667
2,4.366666667
2,4.366666667
2,4.366666667
2,4.366666667
2,4.366666667
2,4.366666667
2,4.366666667
2,4.366666667
2,4.366666667
2,4.366666667
2,4.366666667
2,4.366666667
3,4.366666667
3,4.366666667
3,4.366666667
3,4.366666667
3,4.366666667
3,4.366666667
3,4.366666667
3,4.366666667
3,4.366666667
3,4.366666667
3,4.366666667
3,4.366666667
3,4.366666667
3,4.366666667
3,4.366666667
3,4.366666667
3,4.366666667
3,4.366666667
3,4.366666667
3,4.366666667
3,4.366666667
3,4.366666667
3,4.366666667
3,4.366666667
3,4.366666667
3,4.366666667
3,4.366666667
4,4.366666667
4,4.366666667
4,4.366666667
4,4.366666667
4,4.366666667
4,4.366666667
4,4.366666667
4,4.366666667
4,4.366666667
4,4.366666667
4,4.366666667
4,4.366666667
4,4.366666667
4,4.366666667
4,4.366666667
4,4.366666667
4,4.366666667
4,4.366666667
4,4.366666667
4,4.366666667
4,4.366666667
4,4.366666667
4,4.366666667
4,4.366666667
4,4.366666667
4,4.366666667
4,4.366666667
4,4.366666667
4,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
5,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
6,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
7,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
8,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
9,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
10,4.366666667
