MO,Latitude
6,-20.68333333
1,21.4
5,33.36666667
2,5.6
8,38.76666667
0,32.36666667
9,48.73333333
0,-20.68333333
6,22.76666667
3,63.96666667
7,21.9
8,8.233333333
10,15.28333333
7,38.76666667
10,7.5
10,13.73333333
8,14.58333333
6,17.05
7,5.6
11,13.73333333
9,3.866666667
7,13.73333333
7,41.43333333
4,9.516666667
5,-2.583333333
4,23.51666667
2,17.9
3,64.13333333
10,36.85
9,6.45
2,21.15
1,8.916666667
3,8.383333333
6,32.36666667
7,26.71666667
0,17.9
2,17.9
2,21.9
10,22.45
6,24.9
9,35.61666667
6,6.5
11,6.75
8,13.73333333
3,18.55
6,6.233333333
9,10.61666667
4,25.06666667
3,34.75
0,26.26666667
6,21.15
8,41.91666667
3,23.51666667
6,-17.75
5,18.55
2,35.71666667
5,-2.766666667
1,10.61666667
3,8.383333333
0,12.95
8,-2.583333333
7,33.58333333
4,8.233333333
5,8.916666667
4,32.36666667
8,6.233333333
5,21.15
11,-8.333333333
8,25.31666667
3,43.76666667
11,-2.2
10,60.68333333
2,27.68333333
8,14.58333333
5,-2.766666667
4,35.61666667
0,48.73333333
10,22.88333333
4,41.55
0,8.383333333
4,9.9
3,19.71666667
10,-6.233333333
9,32.36666667
9,-17.75
0,38.76666667
2,40.9
4,36.71666667
4,36.38333333
10,4.366666667
7,25.06666667
6,-20.68333333
2,8.916666667
6,13.73333333
9,27.48333333
7,64.13333333
0,21.48333333
6,-18.83333333
10,27.68333333
8,20.46666667
9,8.916666667
9,41.43333333
7,7.5
11,-2.583333333
9,6.75
5,43.68333333
0,-21.16666667
8,-2.2
4,-23.45
5,25.7
9,67.01666667
3,17.9
3,8.233333333
0,7.733333333
11,5.6
11,10.61666667
1,21.58333333
10,8.383333333
4,24.9
9,40.23333333
5,-8.116666667
0,10.61666667
7,38.11666667
6,-16.45
4,-10.6
0,36.85
8,10.61666667
8,26.71666667
9,61.18333333
0,-8.333333333
5,7.5
2,41.13333333
3,61.18333333
11,27.68333333
11,8.966666667
0,42.56666667
6,24.75
9,8.916666667
10,27.16666667
2,17.9
3,21.4
1,-23.45
8,38.76666667
10,-1.383333333
3,24.9
0,10.61666667
11,3.866666667
8,12.13333333
10,6.5
2,24.9
8,24.9
5,20.46666667
10,-23.4
1,26.71666667
2,8.966666667
3,41.8
11,31.65
5,-2.766666667
1,21.4
8,-18.83333333
8,21.9
11,6.75
1,10.61666667
1,67.01666667
3,-8.116666667
0,67.01666667
11,8.966666667
2,27.68333333
7,27.16666667
5,14.5
1,6.5
11,21.33333333
4,8.383333333
6,10.61666667
9,-15.5
5,22.76666667
10,17.05
1,12.95
7,8.383333333
8,4.366666667
5,21.33333333
2,40.23333333
0,18.55
4,24.75
0,22.33333333
5,36.11666667
4,21.48333333
6,41.8
6,21.15
9,21.48333333
7,17.05
1,36.11666667
3,8.916666667
3,8.383333333
0,4.366666667
7,21.33333333
6,12.13333333
0,41.43333333
2,-4.533333333
5,6.75
5,-4.533333333
7,21.58333333
5,13.73333333
4,17.9
10,64.13333333
5,38.76666667
10,-27.43333333
8,22.88333333
10,18.55
3,-20.68333333
0,41.13333333
0,41.8
5,21.15
6,7.733333333
6,63.96666667
2,48.73333333
11,36.71666667
9,63.96666667
4,27.16666667
0,22.33333333
9,8.916666667
10,61.18333333
4,34.75
9,8.916666667
4,-27.58333333
10,32.93333333
